,Close,Close,Dividends,Dividends,High,High,Low,Low,Open,Open,Stock Splits,Stock Splits,Volume,Volume
,AAPL,IBM,AAPL,IBM,AAPL,IBM,AAPL,IBM,AAPL,IBM,AAPL,IBM,AAPL,IBM
Date,,,,,,,,,,,,,,
2021-01-04,127.3316879272461,103.5586166381836,0.0,0.0,131.46423321412598,105.21301089714288,124.72424524313205,102.80661803538139,131.37568221121586,105.15452574728805,0.0,0.0,143301900,5417443
2021-01-05,128.9059600830078,105.39682006835938,0.0,0.0,129.6242470153751,105.84801783378298,126.36739335533215,104.11842195431724,126.82001231252619,104.45264276826111,0.0,0.0,97664900,6395872
2021-01-06,124.56681060791016,108.02882385253906,0.0,0.0,128.94534839707228,110.19290757123545,124.35034259271949,105.88144350720718,125.66882618212315,106.03184721563436,0.0,0.0,155088000,8322708
2021-01-07,128.81741333007812,107.77816009521484,0.0,0.0,129.51601728368752,109.00642823090826,125.80655955825227,107.16820353797877,126.29852952132792,108.65549066755943,0.0,0.0,109578200,4714740
2021-01-08,129.92929077148438,107.39379119873047,0.0,0.0,130.49997782043172,108.05387777317348,128.13851261647014,106.09867644131413,130.30317779313432,107.4272112780402,0.0,0.0,105158200,4891305
2021-01-11,126.9085922241211,107.43556213378906,0.0,0.0,128.07948336681548,108.35467429129666,126.43630517129583,106.66685366337104,127.11522625495793,106.90916256500026,0.0,0.0,100384500,5859587
2021-01-12,126.73148345947266,107.96196746826172,0.0,0.0,127.60718951735875,108.49672208511257,124.82263732989908,106.90081325450981,126.43629843702853,107.86170056085139,0.0,0.0,91951100,3921663
2021-01-13,128.7879180908203,106.04855346679688,0.0,0.0,129.33892214035455,108.41317093354164,126.4264678746066,105.66419585679041,126.69212088965998,107.9118363700578,0.0,0.0,88636800,8030874
2021-01-14,126.83971405029297,107.76143646240234,0.0,0.0,128.8961451288232,108.75574387446122,126.69211403618017,106.57495025046319,128.69936012373964,106.96766287039135,0.0,0.0,90221800,7848347
2021-01-15,125.09814453125,107.27682495117188,0.0,0.0,128.12868186070955,107.9870417154049,124.96039351689885,106.675223455527,126.71180570524953,107.1849130558917,0.0,0.0,111598500,5131153
2021-01-19,125.77706146240234,107.80320739746094,0.0,0.0,126.64293353192642,108.27947686867364,124.90135539708241,107.02614387581275,125.72786145595501,108.02045124944915,0.0,0.0,90757300,5646308
2021-01-20,129.9096221923828,108.68891143798828,0.0,0.0,130.36224128620208,109.50775014869951,126.48551453218796,107.41886826609434,126.5937485537272,108.3714006450148,0.0,0.0,104319500,5856240
2021-01-21,134.67189025878906,110.000732421875,0.0,0.0,137.42692581926926,110.49371199900175,131.44456760654356,108.66384905097617,131.65120165441735,108.72233419774588,0.0,0.0,120150900,13116003
2021-01-22,136.83656311035156,99.1051025390625,0.0,0.0,137.60403522200843,100.85140856703742,132.85160252214237,98.06065826337795,134.09136169934152,100.85140856703742,0.0,0.0,114459400,39814421
2021-01-25,140.62472534179688,99.08003234863281,0.0,0.0,142.75987367939632,99.88216097659325,134.3471823399822,98.13585503900279,140.77232537348837,99.23042938262132,0.0,0.0,157611700,14315974
2021-01-26,140.86085510253906,102.34706115722656,0.0,0.0,141.98254611074316,102.43061804147358,139.0995940811042,98.94635398009596,141.29379110811487,99.58137563155067,0.0,0.0,98390600,11186656
2021-01-27,139.77854919433594,102.33033752441406,0.0,0.0,141.98258075425957,104.26882230783873,138.15505379102953,101.62011410465398,141.12654252936895,102.0044717203387,0.0,0.0,140843800,12705239
2021-01-28,134.8883514404297,100.3333740234375,0.0,0.0,139.70966717938975,102.9403074642727,134.50461538281985,100.32501900183338,137.27933380994892,102.60608659606595,0.0,0.0,142621100,8455969
2021-01-29,129.8407745361328,99.52287292480469,0.0,0.0,134.5440081842746,101.35273569376562,128.11887893233123,99.34740416563929,133.6486188670006,100.45033350550298,0.0,0.0,177523800,12369473
2021-02-01,131.98573303222656,100.71772766113281,0.0,0.0,133.20582424084392,101.06030353724255,128.82727849893377,99.20537545907693,131.60199696871769,100.1829729597864,0.0,0.0,106239800,6538023
2021-02-02,132.8220977783203,99.79859924316406,0.0,0.0,134.12089108187334,101.1020690356171,132.44819568448185,99.6649122563526,133.55020394370703,99.73175908376469,0.0,0.0,83305400,6633627
2021-02-03,131.7889404296875,99.5312271118164,0.0,0.0,133.58955262845603,100.0994018172913,131.46423839249303,98.6956717597568,133.57970361858875,99.46438028316702,0.0,0.0,89880900,7024308
2021-02-04,135.18353271484375,101.11878967285156,0.0,0.0,135.19336671111586,101.18562983925588,132.42849737143808,99.32234684450766,134.11104158552652,100.19132235187102,0.0,0.0,84183100,4771957
2021-02-05,134.76473999023438,101.76216125488281,0.205,0.0,135.41511455508802,101.77887129565832,133.87787651901326,100.70100698550793,135.34614363612138,101.10207463617219,0.0,0.0,75693800,4775722
2021-02-08,134.91256713867188,103.28285217285156,0.0,0.0,134.96184067527963,103.59200788291146,132.9515946565922,102.27182818384262,134.0454010101265,102.4556519396646,0.0,0.0,71297200,6158848
2021-02-09,134.02566528320312,103.38447570800781,0.0,1.558317,135.86839298593938,103.8078361072663,133.8680110441132,102.49542157241174,134.62676623848196,103.21513560257453,0.0,0.0,76774200,4933982
2021-02-10,133.4147186279297,103.50302124023438,0.0,0.0,134.99138134353515,104.49368895103899,132.43915688107967,102.63090039370569,134.48881239689877,104.1719285438861,0.0,0.0,73046600,5090673
2021-02-11,133.1585235595703,102.37687683105469,0.0,0.0,134.40013535680916,103.47761111638721,131.81836469942982,102.13979663992407,133.91727880646425,103.29979759448098,0.0,0.0,64280000,5629154
2021-02-12,133.39498901367188,102.28373718261719,0.0,0.0,133.55265827214197,102.7578975669461,131.7395069082401,101.6825632780205,132.38988132230318,102.45308403822985,0.0,0.0,60145100,4049275
2021-02-16,131.246826171875,101.66563415527344,0.0,0.0,134.02567594763306,102.11439455698485,130.85265295236155,101.06446698289061,133.51327331652192,101.73337425174788,0.0,0.0,80576300,6945231
2021-02-17,128.9311065673828,101.58097076416016,0.0,0.0,130.29097787271303,102.08053118653548,127.58109899022926,100.77658327635632,129.3351284821796,100.98826348292395,0.0,0.0,97918500,4141219
2021-02-18,127.81761932373047,102.2244644165039,0.0,0.0,128.10338179026962,102.4022779403344,125.55117186943728,101.35234364583197,127.31505027971029,102.02972431554265,0.0,0.0,96856700,5646413
2021-02-19,127.97523498535156,100.75118255615234,0.0,0.0,128.80299109159074,102.24987732684511,126.92085374908321,100.23468204494961,128.33984703272935,102.24141065921202,0.0,0.0,87668800,6881320
2021-02-22,124.16171264648438,102.33454132080078,0.0,0.0,127.82744060370273,102.56316161225234,123.76754697573571,100.28548617919948,126.14238217330005,100.33628618366637,0.0,0.0,103916400,6149643
2021-02-23,124.02376556396484,102.20755004882812,0.0,0.0,124.86136298151526,102.74945063088676,116.66274795975218,101.43703589777327,121.9544050270505,102.38536360565534,0.0,0.0,158273000,4739740
2021-02-24,123.52120208740234,104.3243408203125,0.0,0.0,123.72813738590314,104.56142103176815,120.44672620329301,102.04666529397595,123.1171877002585,102.2837455054316,0.0,0.0,111039900,6087720
2021-02-25,119.22481536865234,103.69776153564453,0.0,0.0,124.61501205531516,105.28959634910112,118.78138364687447,103.58768810333007,122.86098255233883,104.45980889452284,0.0,0.0,148199500,5953623
2021-02-26,119.4908676147461,100.70037078857422,0.0,0.0,123.02848735407596,103.51147998808996,119.43173787824773,100.65803745251274,120.80145773745129,103.51147998808996,0.0,0.0,164560400,9467346
2021-03-01,125.92559814453125,102.2329330444336,0.0,0.0,126.06355500152355,103.57075431815012,120.99854605742111,101.48782578055909,121.94453915597607,101.90271274892669,0.0,0.0,116307900,5977367
2021-03-02,123.2945556640625,101.88577270507812,0.0,0.0,126.84203170717815,103.21512722396932,123.18615991535444,101.82650603797842,126.53655687977447,102.23292631229678,0.0,0.0,102260900,4732418
2021-03-03,120.2791976928711,103.60462188720703,0.0,0.0,123.87594735608259,103.83323542015012,120.06240618994711,101.5894334275173,122.98907644325048,102.02972715868425,0.0,0.0,112966300,7744898
2021-03-04,118.37734985351562,101.69950866699219,0.0,0.0,121.79672517930346,104.33280443341457,116.88938554735212,100.55643422485332,119.97371742431685,103.29980342602289,0.0,0.0,178155000,8439651
2021-03-05,119.6485366821289,104.00257873535156,0.0,0.0,120.16095433331215,104.78155940569208,115.85470790100779,101.81804348872313,119.21496119045676,102.14826377583869,0.0,0.0,153766600,7268968
2021-03-08,114.66236877441406,105.6790771484375,0.0,0.0,119.23467298838976,107.40638529534806,114.51455569271215,104.04490909375869,119.16569455267361,104.13804918599043,0.0,0.0,154376600,7572203
2021-03-09,119.32334899902344,105.1456527709961,0.0,0.0,120.27919834816758,107.05077460619138,117.0569094517548,105.12871943582196,117.29340585710345,106.17865378778784,0.0,0.0,129525800,5867014
2021-03-10,118.22955322265625,108.27003479003906,0.0,0.0,120.38759707112825,108.58332172079997,117.70727935074852,105.50973259271727,119.91460424875852,105.88228618877247,0.0,0.0,111943300,7581199
2021-03-11,120.18065643310547,107.65194702148438,0.0,0.0,121.41241948385237,108.92202822694304,119.4908721319212,107.34712672132028,120.75219629299244,108.45632773067139,0.0,0.0,103026500,5383657
2021-03-12,119.26423645019531,108.0499038696289,0.0,0.0,119.40219332434485,108.10917730077371,117.42152355201829,107.20318979798466,118.64343051652239,107.6942835541113,0.0,0.0,88105100,4194565
2021-03-15,122.18103790283203,108.87120819091797,0.0,0.0,122.19089411225971,109.01514827742466,118.66312294564601,107.99062082477619,119.6386846906925,108.1853676670074,0.0,0.0,92403800,3577948
