,Close,Close,Close,Dividends,Dividends,Dividends,High,High,High,Low,Low,Low,Open,Open,Open,Stock Splits,Stock Splits,Stock Splits,Volume,Volume,Volume
,AAPL,IBM,MCD,AAPL,IBM,MCD,AAPL,IBM,MCD,AAPL,IBM,MCD,AAPL,IBM,MCD,AAPL,IBM,MCD,AAPL,IBM,MCD
Date,,,,,,,,,,,,,,,,,,,,,
2021-01-04,127.3316879272461,103.55860900878906,197.740234375,0.0,0.0,0.0,131.46423321412598,105.21300314586543,201.97309066612564,124.72424524313205,102.80661046138827,195.85896491227746,131.37568221121586,105.15451800031933,201.7567486967377,0.0,0.0,0.0,143301900,5417443,4055400
2021-01-05,128.90597534179688,105.39683532714844,198.92539978027344,0.0,0.0,0.0,129.62426235918883,105.84803315789402,199.3674991873778,126.36740831362734,104.11843702802663,197.17581886254715,126.82002732439854,104.45265789035722,197.7025719383452,0.0,0.0,0.0,97664900,6395872,2576100
2021-01-06,124.56681823730469,108.02882385253906,198.4739227294922,0.0,0.0,0.0,128.9453562946409,110.19290757123545,199.14177968525283,124.3503502088559,105.88144350720718,196.6208712126446,125.66883387901328,106.03184721563436,198.7561160115452,0.0,0.0,0.0,155088000,8322708,3083400
2021-01-07,128.81744384765625,107.77815246582031,199.395751953125,0.0,0.0,0.0,129.5160479667689,109.00642051456715,200.56214421993707,125.80658936254201,107.16819595176182,198.06005231931223,126.29855944216814,108.65548297606048,200.56214421993707,0.0,0.0,0.0,109578200,4714740,3142000
2021-01-08,129.92926025390625,107.39379119873047,203.05482482910156,0.0,0.0,0.0,130.4999471688116,108.05387777317348,203.28998352348017,128.13848251950705,106.09867644131413,199.63091481306685,130.30314718773823,107.4272112780402,200.26113839164782,0.0,0.0,0.0,105158200,4891305,2639100
2021-01-11,126.90859985351562,107.43558502197266,201.51219177246094,0.0,0.0,0.0,128.07949106660075,108.35469737528885,203.28999099316883,126.43631277229777,106.66687638778818,200.46808655693738,127.11523389677474,106.90918534103913,202.32113828496523,0.0,0.0,0.0,100384500,5859587,2545400
2021-01-12,126.73149108886719,107.96197509765625,199.03831481933594,0.0,0.0,0.0,127.60719719947187,108.49672975229683,201.60624361612219,124.82264484437866,106.9008208089153,198.41749245217318,126.43630604865254,107.8617081831603,201.00423796240443,0.0,0.0,0.0,91951100,3921663,2952000
2021-01-13,128.7879180908203,106.04855346679688,199.4992218017578,0.0,0.0,0.0,129.33892214035455,108.41317093354164,200.47748998489524,126.4264678746066,105.66419585679041,198.37986414650794,126.69212088965998,107.9118363700578,198.38927967994698,0.0,0.0,0.0,88636800,8030874,2069800
