Local time,Ask,Bid,AskVolume,BidVolume
19.08.2024 00:00:00.062 GMT+0200,1.1027500000000001,1.10254,1.8,0.45
19.08.2024 00:00:00.165 GMT+0200,1.1027600000000002,1.10254,1.8,0.45
19.08.2024 00:00:00.218 GMT+0200,1.10277,1.10251,1.8,0.35
19.08.2024 00:00:00.270 GMT+0200,1.10277,1.10257,0.9,0.9
19.08.2024 00:00:00.325 GMT+0200,1.1028200000000001,1.1025,0.9,0.45
19.08.2024 00:00:00.378 GMT+0200,1.10283,1.10271,0.9,0.9
19.08.2024 00:00:00.480 GMT+0200,1.10283,1.10246,0.9,1.32
19.08.2024 00:00:00.734 GMT+0200,1.10284,1.10246,0.9,1.32
19.08.2024 00:00:00.888 GMT+0200,1.10284,1.10248,0.9,0.45
19.08.2024 00:00:00.991 GMT+0200,1.10283,1.1025200000000002,0.9,0.9
19.08.2024 00:00:01.095 GMT+0200,1.1028600000000002,1.10253,0.9,0.9
19.08.2024 00:00:01.148 GMT+0200,1.1028200000000001,1.10259,0.9,0.9
19.08.2024 00:00:01.250 GMT+0200,1.1026500000000001,1.10259,0.45,0.9
19.08.2024 00:00:01.353 GMT+0200,1.10283,1.10258,0.9,0.9
19.08.2024 00:00:01.456 GMT+0200,1.1028200000000001,1.10259,0.9,0.9
19.08.2024 00:00:01.508 GMT+0200,1.1028,1.10259,0.9,0.9
19.08.2024 00:00:01.612 GMT+0200,1.10283,1.10254,0.9,0.9
19.08.2024 00:00:01.715 GMT+0200,1.10289,1.1026799999999999,0.45,0.9
19.08.2024 00:00:01.819 GMT+0200,1.10293,1.1027,1.35,0.9
19.08.2024 00:00:01.921 GMT+0200,1.10293,1.10273,0.9,0.9
19.08.2024 00:00:02.023 GMT+0200,1.1029200000000001,1.10273,0.9,0.9
19.08.2024 00:00:02.075 GMT+0200,1.10294,1.10273,0.9,0.9
19.08.2024 00:00:02.179 GMT+0200,1.1029,1.10273,0.9,0.9
19.08.2024 00:00:02.231 GMT+0200,1.1029,1.10261,0.9,0.9
19.08.2024 00:00:02.637 GMT+0200,1.1029200000000001,1.10261,0.45,0.9
19.08.2024 00:00:02.740 GMT+0200,1.1029200000000001,1.10288,0.45,0.9
19.08.2024 00:00:02.844 GMT+0200,1.10293,1.1029200000000001,0.9,0.9
19.08.2024 00:00:02.947 GMT+0200,1.10298,1.1029700000000002,0.9,0.9
19.08.2024 00:00:03.050 GMT+0200,1.10298,1.1029700000000002,1.8,0.9
19.08.2024 00:00:03.152 GMT+0200,1.10305,1.10233,0.9,0.45
19.08.2024 00:00:03.204 GMT+0200,1.10305,1.10279,0.9,0.9
19.08.2024 00:00:03.408 GMT+0200,1.10301,1.1023100000000001,1.8,0.45
19.08.2024 00:00:03.918 GMT+0200,1.1029700000000002,1.10233,0.9,0.45
19.08.2024 00:00:03.969 GMT+0200,1.1029700000000002,1.1023100000000001,0.9,0.45
19.08.2024 00:00:04.022 GMT+0200,1.10295,1.10271,0.9,0.45
19.08.2024 00:00:04.125 GMT+0200,1.10294,1.1027500000000001,0.9,0.9
19.08.2024 00:00:04.228 GMT+0200,1.10294,1.10279,0.9,0.9
19.08.2024 00:00:04.331 GMT+0200,1.1029600000000002,1.10281,1.8,0.9
19.08.2024 00:00:04.741 GMT+0200,1.1029600000000002,1.10284,1.8,0.9
19.08.2024 00:00:04.844 GMT+0200,1.1029600000000002,1.10281,0.9,0.9
19.08.2024 00:00:05.150 GMT+0200,1.1029600000000002,1.10284,0.9,0.9
19.08.2024 00:00:05.252 GMT+0200,1.1029600000000002,1.10285,0.9,0.9
19.08.2024 00:00:05.558 GMT+0200,1.1029600000000002,1.10295,0.9,0.09
19.08.2024 00:00:05.661 GMT+0200,1.10298,1.10285,0.9,0.9
19.08.2024 00:00:05.764 GMT+0200,1.10295,1.10285,0.9,0.9
19.08.2024 00:00:05.867 GMT+0200,1.1029,1.10257,0.9,0.9
19.08.2024 00:00:05.970 GMT+0200,1.1029200000000001,1.10263,0.9,0.9
19.08.2024 00:00:06.075 GMT+0200,1.10294,1.10271,0.9,0.9
19.08.2024 00:00:06.127 GMT+0200,1.1029600000000002,1.10271,0.9,0.9
19.08.2024 00:00:06.178 GMT+0200,1.10295,1.10274,0.9,0.9
19.08.2024 00:00:06.384 GMT+0200,1.10295,1.10279,0.9,0.9
19.08.2024 00:00:06.487 GMT+0200,1.10295,1.1028200000000001,0.9,0.9
19.08.2024 00:00:06.591 GMT+0200,1.1029700000000002,1.1028600000000002,0.9,0.9
19.08.2024 00:00:06.694 GMT+0200,1.10295,1.1029,4.5,0.9
19.08.2024 00:00:06.898 GMT+0200,1.10294,1.1029,4.5,0.9
19.08.2024 00:00:07.053 GMT+0200,1.10295,1.10294,4.5,0.54
19.08.2024 00:00:07.157 GMT+0200,1.10293,1.10281,0.9,0.54
19.08.2024 00:00:07.261 GMT+0200,1.10294,1.10281,0.9,0.54
19.08.2024 00:00:07.313 GMT+0200,1.10298,1.1027,0.9,0.9
19.08.2024 00:00:07.366 GMT+0200,1.10299,1.1027500000000001,1.8,0.9
19.08.2024 00:00:07.471 GMT+0200,1.10298,1.10281,1.8,0.9
19.08.2024 00:00:07.679 GMT+0200,1.10298,1.10295,5.4,0.14
19.08.2024 00:00:07.782 GMT+0200,1.10298,1.10281,4.5,0.9
19.08.2024 00:00:07.886 GMT+0200,1.1029600000000002,1.10281,4.5,0.9
19.08.2024 00:00:08.144 GMT+0200,1.1029700000000002,1.10281,4.5,0.9
19.08.2024 00:00:08.400 GMT+0200,1.10298,1.10285,4.5,0.9
19.08.2024 00:00:08.655 GMT+0200,1.1029600000000002,1.10285,4.5,0.9
19.08.2024 00:00:08.912 GMT+0200,1.10299,1.10285,4.5,0.9
19.08.2024 00:00:09.064 GMT+0200,1.10294,1.10285,0.9,0.9
19.08.2024 00:00:09.117 GMT+0200,1.10294,1.1027500000000001,0.9,0.9
19.08.2024 00:00:09.221 GMT+0200,1.10293,1.1026600000000002,0.9,0.9
19.08.2024 00:00:09.324 GMT+0200,1.10294,1.10269,5.4,0.9
19.08.2024 00:00:09.427 GMT+0200,1.10293,1.10269,4.5,0.9
19.08.2024 00:00:09.630 GMT+0200,1.10293,1.10273,4.5,0.9
19.08.2024 00:00:09.884 GMT+0200,1.10293,1.1027500000000001,0.9,0.9
19.08.2024 00:00:10.139 GMT+0200,1.10293,1.1028,0.9,0.9
19.08.2024 00:00:10.293 GMT+0200,1.1029200000000001,1.10281,0.9,0.9
19.08.2024 00:00:10.397 GMT+0200,1.1029200000000001,1.10284,0.9,0.9
19.08.2024 00:00:10.801 GMT+0200,1.1029200000000001,1.10285,0.9,0.9
19.08.2024 00:00:11.106 GMT+0200,1.1029200000000001,1.1028600000000002,0.9,0.9
19.08.2024 00:00:11.310 GMT+0200,1.1029200000000001,1.10289,5.4,0.9
19.08.2024 00:00:12.069 GMT+0200,1.10291,1.10289,4.5,0.9
19.08.2024 00:00:12.323 GMT+0200,1.10295,1.10289,4.5,0.9
19.08.2024 00:00:12.827 GMT+0200,1.10295,1.1029,4.5,0.9
19.08.2024 00:00:12.930 GMT+0200,1.10294,1.1029,4.5,0.9
19.08.2024 00:00:13.033 GMT+0200,1.10294,1.1028600000000002,4.5,1.8
19.08.2024 00:00:13.490 GMT+0200,1.10295,1.1028600000000002,4.5,1.8
19.08.2024 00:00:14.500 GMT+0200,1.1029700000000002,1.1028600000000002,4.5,0.9
19.08.2024 00:00:14.655 GMT+0200,1.1029700000000002,1.1027600000000002,4.5,0.9
