Local time,Ask,Bid,AskVolume,BidVolume
19.08.2024 00:00:00.206 GMT+0200,1.29454,1.294,0.45,0.9
19.08.2024 00:00:00.309 GMT+0200,1.29448,1.29401,0.9,0.9
19.08.2024 00:00:00.513 GMT+0200,1.29448,1.29399,0.9,0.31
19.08.2024 00:00:00.564 GMT+0200,1.2945,1.29399,0.9,0.31
19.08.2024 00:00:01.120 GMT+0200,1.29448,1.29393,0.9,0.9
19.08.2024 00:00:01.325 GMT+0200,1.29448,1.29399,0.9,0.31
19.08.2024 00:00:01.477 GMT+0200,1.2944200000000001,1.29399,0.9,0.31
19.08.2024 00:00:01.529 GMT+0200,1.2945,1.29398,0.9,0.31
19.08.2024 00:00:01.733 GMT+0200,1.2945,1.29399,0.45,0.31
19.08.2024 00:00:01.784 GMT+0200,1.29448,1.29399,0.9,0.31
19.08.2024 00:00:02.088 GMT+0200,1.29444,1.29399,0.9,0.31
19.08.2024 00:00:02.594 GMT+0200,1.29449,1.2940200000000002,0.9,0.9
19.08.2024 00:00:02.748 GMT+0200,1.29449,1.29408,0.9,0.9
19.08.2024 00:00:02.799 GMT+0200,1.29449,1.2940200000000002,0.9,0.9
19.08.2024 00:00:02.851 GMT+0200,1.2945600000000002,1.29399,0.9,0.31
19.08.2024 00:00:02.902 GMT+0200,1.2945900000000001,1.29398,0.9,0.31
19.08.2024 00:00:03.107 GMT+0200,1.2946,1.2941200000000002,0.22,0.9
19.08.2024 00:00:03.211 GMT+0200,1.2946,1.29423,0.22,0.9
19.08.2024 00:00:03.414 GMT+0200,1.2946,1.29424,0.22,0.9
19.08.2024 00:00:03.517 GMT+0200,1.29461,1.29419,0.22,0.9
19.08.2024 00:00:03.619 GMT+0200,1.29461,1.29413,0.22,0.45
19.08.2024 00:00:03.721 GMT+0200,1.2946,1.2941500000000001,0.22,0.45
19.08.2024 00:00:03.925 GMT+0200,1.2946,1.29413,0.22,0.27
19.08.2024 00:00:04.028 GMT+0200,1.2946,1.29399,0.22,0.31
19.08.2024 00:00:04.180 GMT+0200,1.29458,1.29398,0.9,1.21
19.08.2024 00:00:04.536 GMT+0200,1.2945600000000002,1.29398,0.9,0.31
19.08.2024 00:00:04.791 GMT+0200,1.2945700000000002,1.29398,0.9,0.31
19.08.2024 00:00:05.097 GMT+0200,1.29454,1.29399,0.9,0.31
19.08.2024 00:00:05.502 GMT+0200,1.2945600000000002,1.29398,0.9,0.31
19.08.2024 00:00:05.656 GMT+0200,1.29455,1.29404,0.9,0.9
19.08.2024 00:00:05.758 GMT+0200,1.2946,1.29407,0.22,0.9
19.08.2024 00:00:05.861 GMT+0200,1.29461,1.29398,0.22,0.31
19.08.2024 00:00:06.066 GMT+0200,1.2946,1.29399,0.9,0.9
19.08.2024 00:00:06.320 GMT+0200,1.2945900000000001,1.29399,0.9,1.21
19.08.2024 00:00:06.576 GMT+0200,1.29461,1.29399,0.22,0.9
19.08.2024 00:00:06.881 GMT+0200,1.2946,1.2940200000000002,0.22,0.9
19.08.2024 00:00:07.137 GMT+0200,1.2946,1.29404,0.22,0.9
19.08.2024 00:00:07.311 GMT+0200,1.2945900000000001,1.29404,0.9,0.9
19.08.2024 00:00:07.413 GMT+0200,1.29461,1.29401,1.12,0.9
19.08.2024 00:00:07.668 GMT+0200,1.29458,1.29401,0.9,0.9
19.08.2024 00:00:07.873 GMT+0200,1.29449,1.29401,0.9,0.9
19.08.2024 00:00:07.976 GMT+0200,1.29449,1.29399,0.9,0.9
19.08.2024 00:00:08.128 GMT+0200,1.2944600000000002,1.294,0.9,0.9
19.08.2024 00:00:08.434 GMT+0200,1.29445,1.29399,0.9,0.9
19.08.2024 00:00:08.536 GMT+0200,1.29445,1.29398,0.9,0.31
19.08.2024 00:00:08.739 GMT+0200,1.29443,1.29399,0.9,0.31
19.08.2024 00:00:08.993 GMT+0200,1.2944600000000002,1.29399,0.9,0.31
19.08.2024 00:00:09.249 GMT+0200,1.2944,1.29399,0.9,0.31
