Date,Open,High,Low,Close,Volume,Dividends,Stock Splits
2013-09-03,117.39836670718269,117.83949556195951,116.68233205618226,117.60934448242188,3647611,0.0,0.0
2013-09-04,117.36646762019602,117.75644405296194,116.55452521788253,117.07876586914062,2717403,0.0,0.0
2013-09-05,117.21938768116365,118.27426662007228,117.04037897315453,117.73084259033203,2999510,0.0,0.0
2013-09-06,118.05049639156407,118.26787211335042,116.77185409021665,117.01480102539062,3037061,0.0,0.0
2013-09-09,117.43035915147759,118.58753309116325,117.19381012084558,118.261474609375,3155991,0.0,0.0
2013-09-10,119.68077902267227,119.96847050484304,119.15014058373752,119.29718017578125,3294482,0.0,0.0
2013-09-11,119.44420791708754,122.02706348579062,119.43781001235553,121.91838073730469,5191193,0.0,0.0
2013-09-12,122.08460824707535,122.31476958110896,121.37497134446109,121.93756866455078,3509121,0.0,0.0
2013-09-13,122.24445008877305,123.45276654419797,122.11019610616913,122.85820007324219,3881078,0.0,0.0
2013-09-16,123.83637604607121,124.54602330967332,123.1395143922999,123.48475646972656,4081910,0.0,0.0
2013-09-17,123.65733561473112,124.12404596794556,122.64081356769753,122.85179138183594,3065721,0.0,0.0
2013-09-18,123.13307703538966,124.59711550462217,122.74948848715275,124.29663848876953,4018523,0.0,0.0
2013-09-19,124.14324064958744,124.59715527040271,123.52949061333177,123.63818359375,3324293,0.0,0.0
2013-09-20,124.00256776608175,124.30305503098332,121.48365020751953,121.48365020751953,8918091,0.0,0.0
2013-09-23,121.50922385079863,123.01162959336642,121.04252369086723,122.10379028320312,3494477,0.0,0.0
2013-09-24,122.06541765081595,122.46818972433536,121.25347559918406,121.45166778564453,3227224,0.0,0.0
2013-09-25,121.56037002495405,121.86724500674963,120.51188900714932,121.13202667236328,2776607,0.0,0.0
2013-09-26,121.53479501481245,122.5960718107104,121.12563518786095,121.61151885986328,2189906,0.0,0.0
2013-09-27,120.7484278919415,120.79318261552194,119.20126750584096,119.50175476074219,4085153,0.0,0.0
2013-09-30,118.63231057880793,119.3867126059186,117.85234753511563,118.38937377929688,4161197,0.0,0.0
2013-10-01,118.4916095517663,119.32911252453106,118.05047050358455,119.15650177001953,2804535,0.0,0.0
2013-10-02,118.61947543692742,119.11175694153197,117.89704283920545,118.24867248535156,3783487,0.0,0.0
2013-10-03,118.08245910844612,118.24868219044966,116.99561117042522,117.5454330444336,3359543,0.0,0.0
2013-10-04,117.74364284500089,118.35739289395163,117.36645207291431,117.69889831542969,2995326,0.0,0.0
2013-10-07,116.26043684293549,117.19384765769512,116.26043684293549,116.36273193359375,4148854,0.0,0.0
2013-10-08,116.28597445610086,116.34991269578276,114.25294047333962,114.25933837890625,5834902,0.0,0.0
2013-10-09,114.674873951206,116.14531032367026,114.50225298223235,115.92154693603516,4626981,0.0,0.0
2013-10-10,117.1043077543705,118.12722778320312,116.58646514019524,118.12722778320312,3827209,0.0,0.0
2013-10-11,118.43411113201394,119.06063655625654,117.71167833867597,119.0158920288086,3381300,0.0,0.0
2013-10-14,118.53639091577507,119.54651516108763,117.90346761247078,119.53372955322266,2785603,0.0,0.0
2013-10-15,118.74735596134516,118.87522223021914,117.77558864429591,118.05689239501953,3519895,0.0,0.0
2013-10-16,118.54276881979388,119.3802719116211,118.26786299108736,119.3802719116211,7027028,0.0,0.0
2013-10-17,111.13944355769425,113.15970209005567,110.32751160549539,111.77237701416016,23397869,0.0,0.0
2013-10-18,111.75321160669901,111.88107789979081,110.76227079423202,111.10110473632812,11033208,0.0,0.0
2013-10-21,111.5102628056813,111.72123043193017,110.36587440174235,110.51292419433594,7425240,0.0,0.0
2013-10-22,110.8261896113841,112.24548391813772,110.5704570464928,111.86188507080078,7298256,0.0,0.0
2013-10-23,111.9385753301529,112.5139581224963,111.49744648189089,112.37330627441406,5658232,0.0,0.0
2013-10-24,112.79525735746094,113.7286676370932,112.6801767219464,113.67112731933594,5787832,0.0,0.0
2013-10-25,114.07390569520621,114.50224894638353,112.68658090396278,113.06378173828125,5065569,0.0,0.0
2013-10-28,113.18527641050571,113.72870043002546,112.64825029657855,113.38346862792969,3883484,0.0,0.0
2013-10-29,113.55609121606307,116.56090309336027,113.47937756496476,116.43303680419922,9314212,0.0,0.0
2013-10-30,116.15811403284266,116.47137670196072,114.98815449365476,115.1735610961914,5516290,0.0,0.0
2013-10-31,114.85387449149773,116.14530210324932,114.46388806682083,114.57257080078125,4516733,0.0,0.0
2013-11-01,114.9561912034716,115.2950353070816,114.36162474973752,114.58538818359375,3812147,0.0,0.0
2013-11-04,115.01373324292922,115.58912639622956,114.6557158250517,115.25028228759766,3643532,0.0,0.0
2013-11-05,114.78355198771246,114.94977504554262,113.61359267883384,113.7031021118164,6377253,0.0,0.0
2013-11-06,114.35228630852664,115.53495067065252,114.26872844457867,115.17501068115234,4770492,0.908222,0.0
2013-11-07,115.43858800489035,116.58911206348034,115.43858800489035,115.69569396972656,5459597,0.0,0.0
2013-11-08,114.94363297383086,115.74708121266957,113.99236577034254,115.6892318725586,6563650,0.0,0.0
