,Capital Gains,Close,Close,Dividends,Dividends,High,High,Low,Low,Open,Open,Stock Splits,Stock Splits,Volume,Volume
,SPY,AAPL,SPY,AAPL,SPY,AAPL,SPY,AAPL,SPY,AAPL,SPY,AAPL,SPY,AAPL,SPY
Date,,,,,,,,,,,,,,,
2021-01-04,0.0,127.33171081542969,354.1974182128906,0.0,0.0,131.46425684514475,360.5938933010171,124.72426766262141,350.38450530827276,131.37570582631736,360.45941886884845,0.0,0.0,143301900,110210800
2021-01-05,0.0,128.90597534179688,356.63690185546875,0.0,0.0,129.62426235918883,357.7606192472374,126.36740831362734,353.4866887161092,126.82002732439854,353.5347278617601,0.0,0.0,97664900,66426200
2021-01-06,0.0,124.56681060791016,358.7690124511719,0.0,0.0,128.94534839707228,362.0633132783163,124.35034259271949,354.514309869474,125.66882618212315,355.0809606803747,0.0,0.0,155088000,107997700
2021-01-07,0.0,128.8174285888672,364.0994873046875,0.0,0.0,129.5160326252282,364.8678205692098,125.80657446039716,361.0357093180959,126.29854448174804,361.2181935976761,0.0,0.0,109578200,68766800
2021-01-08,0.0,129.92930603027344,366.1740417480469,0.0,0.0,130.49999314624182,366.39492218556524,128.1385276649517,362.17864407815307,130.30319309583237,365.53053988953883,0.0,0.0,105158200,71677200
2021-01-11,0.0,126.90858459472656,363.70562744140625,0.0,0.0,128.0794756670302,365.5208268386358,126.4362975702939,362.77400817414195,127.11521861314114,362.8988688970788,0.0,0.0,100384500,51034700
2021-01-12,0.0,126.73150634765625,363.7825012207031,0.0,0.0,127.60721256369816,364.82936767163767,124.82265987333786,361.4678585996333,126.43632127190058,363.8977775807425,0.0,0.0,91951100,52547700
2021-01-13,0.0,128.7879180908203,364.7621765136719,0.0,0.0,129.33892214035455,365.7898156301001,126.4264678746066,362.8989376262658,126.69212088965998,363.70569632338476,0.0,0.0,88636800,45303600
2021-01-14,0.0,126.83972930908203,363.4847717285156,0.0,0.0,128.89616063500046,366.0491358441537,126.69212927721298,363.1390305767621,128.6993756062437,365.5304948064902,0.0,0.0,90221800,49989100
