,Capital Gains,Close,Close,Close,Dividends,Dividends,Dividends,High,High,High,Low,Low,Low,Open,Open,Open,Stock Splits,Stock Splits,Stock Splits,Volume,Volume,Volume
,SPY,AAPL,MCD,SPY,AAPL,MCD,SPY,AAPL,MCD,SPY,AAPL,MCD,SPY,AAPL,MCD,SPY,AAPL,MCD,SPY,AAPL,MCD,SPY
Date,,,,,,,,,,,,,,,,,,,,,,
2021-01-04,0.0,127.33170318603516,197.74024963378906,354.1973876953125,0.0,0.0,0.0,131.46424896813852,201.9731062515466,360.59386223231996,124.7242601894583,195.8589800258968,350.38447511921447,131.37569795461687,201.75676426546445,360.4593878117376,0.0,0.0,0.0,143301900,4055400,110210800
2021-01-05,0.0,128.90599060058594,198.92543029785156,356.6368713378906,0.0,0.0,0.0,129.62427770300258,199.36752977277942,357.76058863350227,126.36742327192249,197.1758491117183,353.4866584680962,126.82004233627086,197.70260226832667,353.53469760963634,0.0,0.0,0.0,97664900,2576100,66426200
2021-01-06,0.0,124.56681823730469,198.4739227294922,358.76904296875,0.0,0.0,0.0,128.9453562946409,199.14177968525283,362.06334407611394,124.3503502088559,196.6208712126446,354.51434002513895,125.66883387901328,198.7561160115452,355.08099088424007,0.0,0.0,0.0,155088000,3083400,107997700
2021-01-07,0.0,128.8174285888672,199.39572143554688,364.0994567871094,0.0,0.0,0.0,129.5160326252282,200.56211352384224,364.8677899872326,125.80657446039716,198.06002200616328,361.03567905731313,126.29854448174804,200.56211352384224,361.2181633215981,0.0,0.0,0.0,109578200,3142000,68766800
2021-01-08,0.0,129.92930603027344,203.05482482910156,366.1739807128906,0.0,0.0,0.0,130.49999314624182,203.28998352348017,366.3948611135919,128.1385276649517,199.63091481306685,362.1785837089635,130.30319309583237,200.26113839164782,365.5304789616437,0.0,0.0,0.0,105158200,2639100,71677200
2021-01-11,0.0,126.9085922241211,201.51220703125,363.7056579589844,0.0,0.0,0.0,128.07948336681548,203.29000638657536,365.52085750852257,126.43630517129583,200.46810173666532,362.77403861355043,127.11522625495793,202.32115360500885,362.89889934696396,0.0,0.0,0.0,100384500,2545400,51034700
2021-01-12,0.0,126.73148345947266,199.03831481933594,363.7825012207031,0.0,0.0,0.0,127.60718951735875,201.60624361612219,364.82936767163767,124.82263732989908,198.41749245217318,361.4678585996333,126.43629843702853,201.00423796240443,363.8977775807425,0.0,0.0,0.0,91951100,2952000,52547700
2021-01-13,0.0,128.7879180908203,199.49920654296875,364.76220703125,0.0,0.0,0.0,129.33892214035455,200.4774746512829,365.78984623365494,126.4264678746066,198.37984897333345,362.8989679879573,126.69212088965998,198.38926450605234,363.7057267525732,0.0,0.0,0.0,88636800,2069800,45303600
2021-01-14,0.0,126.83972930908203,196.12234497070312,363.4847412109375,0.0,0.0,0.0,128.89616063500046,200.04479014776354,366.0491051112759,126.69212927721298,195.65202759667267,363.13900008821184,128.6993756062437,199.50863580490136,365.5304641171566,0.0,0.0,0.0,90221800,3666700,49989100
2021-01-15,0.0,125.09815216064453,197.44862365722656,360.8339538574219,0.0,0.0,0.0,128.12868967492827,198.19171871855798,362.6395395942259,124.96040113789233,195.10643820180834,358.9130917752637,126.71181343305686,195.6237901320749,361.81358296771197,0.0,0.0,0.0,111598500,3593700,107160000
