Local time,Ask,Bid,AskVolume,BidVolume
19.08.2024 00:00:00.057 GMT+0200,0.86699,0.8664299999999999,0.27,0.9
19.08.2024 00:00:00.213 GMT+0200,0.86709,0.86649,0.9,0.9
19.08.2024 00:00:00.518 GMT+0200,0.86709,0.8664600000000001,1.17,0.9
19.08.2024 00:00:00.770 GMT+0200,0.86709,0.8664799999999999,0.9,0.9
19.08.2024 00:00:00.923 GMT+0200,0.86703,0.8664100000000001,0.9,0.9
19.08.2024 00:00:01.025 GMT+0200,0.86703,0.8664000000000001,0.9,0.9
19.08.2024 00:00:01.329 GMT+0200,0.8670200000000001,0.8663700000000001,0.9,0.9
19.08.2024 00:00:01.632 GMT+0200,0.8670100000000001,0.8663700000000001,0.9,0.9
19.08.2024 00:00:02.037 GMT+0200,0.86699,0.8663700000000001,0.27,0.9
19.08.2024 00:00:02.239 GMT+0200,0.86695,0.8663700000000001,0.9,0.9
19.08.2024 00:00:03.854 GMT+0200,0.86703,0.8665700000000001,0.9,0.9
19.08.2024 00:00:03.905 GMT+0200,0.86703,0.8664799999999999,0.9,0.9
19.08.2024 00:00:03.957 GMT+0200,0.8669600000000001,0.8665100000000001,0.9,0.9
19.08.2024 00:00:04.365 GMT+0200,0.8669600000000001,0.8663299999999999,0.9,0.45
19.08.2024 00:00:05.783 GMT+0200,0.86703,0.86645,1.8,0.9
19.08.2024 00:00:06.038 GMT+0200,0.8670200000000001,0.8664799999999999,0.9,0.9
19.08.2024 00:00:06.242 GMT+0200,0.8668600000000001,0.8664100000000001,0.9,0.9
19.08.2024 00:00:06.345 GMT+0200,0.86698,0.8664100000000001,0.9,0.9
19.08.2024 00:00:06.397 GMT+0200,0.86693,0.8664200000000001,0.9,0.9
19.08.2024 00:00:06.449 GMT+0200,0.8669700000000001,0.8664200000000001,0.9,0.9
19.08.2024 00:00:06.704 GMT+0200,0.86699,0.8664000000000001,0.9,0.9
19.08.2024 00:00:06.756 GMT+0200,0.8668600000000001,0.8663799999999999,0.9,0.45
19.08.2024 00:00:06.858 GMT+0200,0.8668600000000001,0.8663600000000001,0.9,0.45
19.08.2024 00:00:07.011 GMT+0200,0.86685,0.8663600000000001,0.9,0.45
19.08.2024 00:00:07.063 GMT+0200,0.86685,0.8663299999999999,0.9,0.45
19.08.2024 00:00:07.165 GMT+0200,0.86685,0.8663600000000001,0.9,0.45
19.08.2024 00:00:07.975 GMT+0200,0.86685,0.8663799999999999,0.9,0.45
19.08.2024 00:00:08.382 GMT+0200,0.86685,0.8663600000000001,0.9,0.45
19.08.2024 00:00:08.585 GMT+0200,0.8669200000000001,0.8663600000000001,0.9,0.45
19.08.2024 00:00:08.687 GMT+0200,0.86695,0.8664000000000001,0.9,0.45
19.08.2024 00:00:08.941 GMT+0200,0.86685,0.8664000000000001,0.9,0.45
19.08.2024 00:00:08.992 GMT+0200,0.86685,0.8663700000000001,0.9,0.45
19.08.2024 00:00:09.095 GMT+0200,0.86685,0.86639,0.9,0.45
19.08.2024 00:00:09.297 GMT+0200,0.8668600000000001,0.8663600000000001,0.9,0.45
19.08.2024 00:00:10.205 GMT+0200,0.86685,0.8664200000000001,0.9,0.45
19.08.2024 00:00:10.307 GMT+0200,0.86685,0.8663600000000001,0.9,0.45
19.08.2024 00:00:10.711 GMT+0200,0.86685,0.8663700000000001,0.9,0.45
19.08.2024 00:00:10.812 GMT+0200,0.86685,0.8663799999999999,0.9,0.45
19.08.2024 00:00:10.914 GMT+0200,0.86685,0.8663600000000001,0.9,0.45
19.08.2024 00:00:11.016 GMT+0200,0.86685,0.8663700000000001,0.9,0.45
19.08.2024 00:00:11.118 GMT+0200,0.86685,0.8664000000000001,0.9,0.45
19.08.2024 00:00:11.925 GMT+0200,0.86685,0.86644,0.9,0.45
19.08.2024 00:00:12.281 GMT+0200,0.8669100000000001,0.86644,0.9,0.45
19.08.2024 00:00:12.433 GMT+0200,0.8669100000000001,0.8664200000000001,0.9,0.45
19.08.2024 00:00:12.535 GMT+0200,0.86685,0.8664200000000001,0.9,0.45
19.08.2024 00:00:12.637 GMT+0200,0.8668600000000001,0.8664000000000001,0.9,0.45
19.08.2024 00:00:13.547 GMT+0200,0.86685,0.8664299999999999,0.9,0.45
19.08.2024 00:00:13.950 GMT+0200,0.86689,0.8664299999999999,0.9,0.45
19.08.2024 00:00:14.303 GMT+0200,0.8669200000000001,0.8664299999999999,0.9,0.45
19.08.2024 00:00:14.607 GMT+0200,0.86694,0.8664299999999999,0.9,0.45
19.08.2024 00:00:14.658 GMT+0200,0.86694,0.8663299999999999,0.9,0.45
19.08.2024 00:00:14.964 GMT+0200,0.8669600000000001,0.8664700000000001,0.9,0.45
19.08.2024 00:00:15.066 GMT+0200,0.8669600000000001,0.86649,0.9,0.45
19.08.2024 00:00:15.318 GMT+0200,0.867,0.8664799999999999,0.9,0.45
19.08.2024 00:00:15.672 GMT+0200,0.867,0.86645,0.9,0.45
19.08.2024 00:00:15.775 GMT+0200,0.867,0.8664299999999999,0.9,0.45
19.08.2024 00:00:16.027 GMT+0200,0.86685,0.86644,0.9,0.45
19.08.2024 00:00:16.281 GMT+0200,0.86685,0.8664299999999999,0.9,0.45
19.08.2024 00:00:16.384 GMT+0200,0.8669200000000001,0.86645,0.9,0.45
19.08.2024 00:00:16.486 GMT+0200,0.86699,0.86645,0.9,0.45
19.08.2024 00:00:16.638 GMT+0200,0.86685,0.86645,0.9,0.45
19.08.2024 00:00:16.791 GMT+0200,0.86685,0.8663600000000001,0.9,0.45
19.08.2024 00:00:16.894 GMT+0200,0.86685,0.8664299999999999,0.9,0.45
19.08.2024 00:00:16.996 GMT+0200,0.86685,0.86645,0.9,0.45
19.08.2024 00:00:17.097 GMT+0200,0.86685,0.8664600000000001,0.9,0.45
19.08.2024 00:00:17.201 GMT+0200,0.8669200000000001,0.8664299999999999,0.9,0.45
19.08.2024 00:00:17.302 GMT+0200,0.86695,0.8664299999999999,0.9,0.45
19.08.2024 00:00:18.007 GMT+0200,0.86695,0.8664100000000001,0.9,0.45
19.08.2024 00:00:20.368 GMT+0200,0.86695,0.8664200000000001,0.9,0.45
19.08.2024 00:00:20.771 GMT+0200,0.86695,0.8664100000000001,0.9,0.45
19.08.2024 00:00:21.375 GMT+0200,0.86695,0.86644,0.9,0.45
19.08.2024 00:00:21.881 GMT+0200,0.86695,0.8664799999999999,0.9,0.45
19.08.2024 00:00:22.084 GMT+0200,0.86695,0.86645,0.9,0.45
19.08.2024 00:00:22.692 GMT+0200,0.86695,0.8664200000000001,0.9,0.45
