Time,Bid,Ask,Last,Volume,Type
2023.04.24 13:46:02.843,44.02,44.03,44.03,100.00,Buy
2023.04.24 13:46:02.843,44.02,44.03,44.03,100.00,Buy
2023.04.24 13:46:04.876,44.01,44.02,44.02,100.00,Buy
2023.04.24 13:46:04.876,44.01,44.02,44.02,100.00,Buy
2023.04.24 13:46:04.876,44.01,44.02,44.02,100.00,Buy
2023.04.24 13:46:04.876,44.01,44.02,44.02,100.00,Buy
2023.04.24 13:46:04.876,44.01,44.02,44.02,100.00,Buy
2023.04.24 13:46:10.459,44.01,44.02,44.01,100.00,Sell
2023.04.24 13:46:14.398,44.01,44.02,44.01,300.00,Sell
2023.04.24 13:46:14.398,44.01,44.02,44.01,100.00,Sell
2023.04.24 13:46:14.674,44.01,44.02,44.02,101.00,Buy
2023.04.24 13:46:14.689,44.01,44.02,44.02,100.00,Buy
2023.04.24 13:46:14.689,44.01,44.02,44.02,100.00,Buy
2023.04.24 13:46:14.689,44.01,44.02,44.02,100.00,Buy
2023.04.24 13:46:14.689,44.01,44.02,44.02,100.00,Buy
2023.04.24 13:46:14.689,44.01,44.02,44.02,100.00,Buy
2023.04.24 13:46:14.689,44.01,44.02,44.02,100.00,Buy
2023.04.24 13:46:14.689,44.01,44.02,44.02,100.00,Buy
2023.04.24 13:46:14.689,44.01,44.02,44.02,100.00,Buy
2023.04.24 13:46:14.689,44.01,44.02,44.02,300.00,Buy
2023.04.24 13:46:14.689,44.01,44.02,44.02,100.00,Buy
2023.04.24 13:46:14.689,44.01,44.02,44.02,100.00,Buy
2023.04.24 13:46:14.689,44.01,44.02,44.02,100.00,Buy
2023.04.24 13:46:16.464,44.01,44.02,44.01,100.00,Sell
2023.04.24 13:46:27.802,44.00,44.01,44.01,106.00,Buy
2023.04.24 13:46:28.816,44.00,44.01,44.00,100.00,Sell
2023.04.24 13:46:32.481,44.00,44.01,44.00,100.00,Sell
2023.04.24 13:46:34.266,44.00,44.01,44.00,200.00,Sell
2023.04.24 13:46:34.395,44.00,44.01,44.00,100.00,Sell
2023.04.24 13:46:36.983,44.00,44.01,44.00,100.00,Sell
2023.04.24 13:46:38.932,43.99,44.00,44.00,100.00,Buy
2023.04.24 13:46:40.514,43.98,43.99,43.99,108.00,Buy
2023.04.24 13:46:40.514,43.98,43.99,43.99,100.00,Buy
2023.04.24 13:46:40.514,43.98,43.99,43.99,100.00,Buy
2023.04.24 13:46:40.514,43.98,43.99,43.99,100.00,Buy
2023.04.24 13:46:40.514,43.98,43.99,43.98,100.00,Sell
2023.04.24 13:46:44.920,43.97,43.98,43.98,100.00,Buy
2023.04.24 13:46:50.125,43.97,43.98,43.98,100.00,Buy
2023.04.24 13:46:50.125,43.97,43.98,43.98,100.00,Buy
2023.04.24 13:46:50.125,43.97,43.98,43.98,200.00,Buy
2023.04.24 13:46:50.125,43.97,43.98,43.98,100.00,Buy
2023.04.24 13:46:54.054,43.97,43.98,43.97,100.00,Sell
2023.04.24 13:47:00.558,43.97,43.98,43.97,100.00,Sell
2023.04.24 13:47:01.886,43.95,43.96,43.97,100.00,Buy
2023.04.24 13:47:01.886,43.95,43.96,43.97,100.00,Buy
2023.04.24 13:47:02.778,43.95,43.96,43.96,100.00,Buy
2023.04.24 13:47:02.778,43.95,43.96,43.96,100.00,Buy
2023.04.24 13:47:02.778,43.95,43.96,43.96,100.00,Buy
2023.04.24 13:47:02.778,43.95,43.96,43.96,100.00,Buy
2023.04.24 13:47:04.068,43.95,43.96,43.96,100.00,Buy
2023.04.24 13:47:04.068,43.95,43.96,43.96,100.00,Buy
2023.04.24 13:47:05.835,43.94,43.95,43.95,100.00,Buy
2023.04.24 13:47:07.052,43.95,43.96,43.95,100.00,Sell
2023.04.24 13:47:07.052,43.95,43.96,43.95,100.00,Sell
2023.04.24 13:47:07.052,43.95,43.96,43.95,100.00,Sell
2023.04.24 13:47:07.673,43.95,43.96,43.96,100.00,Buy
2023.04.24 13:47:14.822,43.96,43.97,43.96,100.00,Sell
2023.04.24 13:47:14.822,43.96,43.97,43.96,100.00,Sell
2023.04.24 13:47:14.822,43.96,43.97,43.96,100.00,Sell
2023.04.24 13:47:14.822,43.96,43.97,43.96,100.00,Sell
2023.04.24 13:47:14.822,43.96,43.97,43.96,100.00,Sell
2023.04.24 13:47:21.986,43.96,43.97,43.96,100.00,Sell
2023.04.24 13:47:21.986,43.96,43.97,43.96,100.00,Sell
2023.04.24 13:47:21.986,43.96,43.97,43.96,100.00,Sell
2023.04.24 13:47:21.986,43.96,43.97,43.96,100.00,Sell
2023.04.24 13:47:22.286,43.96,43.97,43.97,100.00,Buy
2023.04.24 13:47:22.286,43.96,43.97,43.97,100.00,Buy
2023.04.24 13:47:23.239,43.96,43.97,43.96,100.00,Sell
2023.04.24 13:47:23.239,43.96,43.97,43.96,100.00,Sell
2023.04.24 13:47:23.239,43.96,43.97,43.96,100.00,Sell
2023.04.24 13:47:23.239,43.96,43.97,43.96,100.00,Sell
2023.04.24 13:47:23.239,43.96,43.97,43.96,100.00,Sell
2023.04.24 13:47:29.386,43.95,43.96,43.96,100.00,Buy
2023.04.24 13:47:29.643,43.95,43.96,43.95,100.00,Sell
2023.04.24 13:47:30.811,43.96,43.97,43.96,300.00,Sell
2023.04.24 13:47:31.055,43.95,43.96,43.96,100.00,Buy
2023.04.24 13:47:31.055,43.95,43.96,43.96,100.00,Buy
2023.04.24 13:47:35.534,43.95,43.96,43.96,100.00,Buy
2023.04.24 13:47:37.640,43.95,43.96,43.95,200.00,Sell
2023.04.24 13:47:38.629,43.95,43.96,43.95,100.00,Sell
2023.04.24 13:47:41.485,43.94,43.95,43.95,100.00,Buy
2023.04.24 13:47:43.793,43.95,43.96,43.95,100.00,Sell
2023.04.24 13:47:45.530,43.95,43.96,43.96,100.00,Buy
2023.04.24 13:47:53.623,43.95,43.96,43.96,100.00,Buy
2023.04.24 13:47:58.225,43.95,43.96,43.96,100.00,Buy
2023.04.24 13:48:12.262,43.96,43.97,43.96,100.00,Sell
2023.04.24 13:48:12.262,43.96,43.97,43.96,300.00,Sell
2023.04.24 13:48:23.750,43.96,43.97,43.96,100.00,Sell
2023.04.24 13:48:23.780,43.96,43.97,43.96,100.00,Sell
2023.04.24 13:48:23.780,43.96,43.97,43.96,100.00,Sell
2023.04.24 13:48:23.780,43.96,43.97,43.96,100.00,Sell
2023.04.24 13:48:24.493,43.95,43.96,43.95,100.00,Sell
2023.04.24 13:48:27.743,43.94,43.95,43.94,100.00,Sell
2023.04.24 13:48:31.918,43.94,43.95,43.94,100.00,Sell
2023.04.24 13:48:32.018,43.94,43.95,43.94,100.00,Sell
2023.04.24 13:48:32.188,43.94,43.95,43.94,100.00,Sell
2023.04.24 13:48:33.155,43.94,43.95,43.94,100.00,Sell
2023.04.24 13:48:36.601,43.93,43.94,43.94,100.00,Buy
2023.04.24 13:48:36.601,43.93,43.94,43.94,100.00,Buy
2023.04.24 13:48:38.718,43.91,43.92,43.93,100.00,Buy
