,Ticker,Price,Number of Shares to Buy,Price-to-Earnings Ratio,PE Percentile,Price-to-Book Ratio,PB Percentile,Price-to-Sales Ratio,PS Percentile,EV/EBITDA,EV/EBITDA Percentile,EV/GP,EV/GP Percentile,RV Score
0,A,139,N/A,31.38,N/A,7.33,N/A,5.93,N/A,21.737846480710658,N/A,11.328983483333333,N/A,N/A
1,AAL,13.29,N/A,68.54,N/A,-1.5,N/A,0.1772,N/A,9.365615876356896,N/A,0.7223444725449756,N/A,N/A
2,AAP,126.65,N/A,15.31,N/A,2.8,N/A,0.673,N/A,8.628705581736979,N/A,1.735359094738115,N/A,N/A
3,AAPL,166.47,N/A,28.31,N/A,46.43,N/A,6.8,N/A,21.499539865110783,N/A,16.14201599211367,N/A,N/A
4,ABBV,159.59,N/A,24.07,N/A,16.32,N/A,4.85,N/A,11.97051393975173,N/A,8.257416038065944,N/A,N/A
5,ABC,167.41,N/A,20.32,N/A,-190.09,N/A,0.14,N/A,11.081517144899406,N/A,4.511133164780891,N/A,N/A
6,ABMD,381.02,N/A,65.69,N/A,,N/A,,N/A,,N/A,,N/A,N/A
7,ABT,104.15,N/A,26.5,N/A,4.93,N/A,4.15,N/A,18.082901220915662,N/A,7.654118565827588,N/A,N/A
8,ACN,279.96,N/A,25.8,N/A,7.81,N/A,2.94,N/A,15.259180038777401,N/A,8.84113701386654,N/A,N/A
9,ADBE,377.55,N/A,37.23,N/A,12.19,N/A,9.62,N/A,27.27758077777778,N/A,10.844990760489289,N/A,N/A
10,ADI,189.58,N/A,28.64,N/A,2.63,N/A,7.62,N/A,19.115020541964924,N/A,12.20769552520722,N/A,N/A
11,ADM,82.55,N/A,10.71,N/A,1.86,N/A,0.4442,N/A,8.770100192852437,N/A,7.034616693659181,N/A,N/A
12,ADP,217.32,N/A,28.86,N/A,30.15,N/A,5.22,N/A,20.172037027984334,N/A,5.316223915012292,N/A,N/A
13,ADSK,197.45,N/A,52.24,N/A,37.04,N/A,8.47,N/A,39.20684867525299,N/A,9.299115101461924,N/A,N/A
14,AEE,88.29,N/A,21.33,N/A,2.2,N/A,2.91,N/A,13.620641456521739,N/A,7.238545440719697,N/A,N/A
15,AEP,92.47,N/A,20.59,N/A,1.99,N/A,2.42,N/A,12.67101342360532,N/A,6.905427509169484,N/A,N/A
16,AES,24.42,N/A,-29.88,N/A,10.22,N/A,1.29,N/A,11.354719887752031,N/A,14.808372914835164,N/A,N/A
17,AFL,66.89,N/A,10.15,N/A,1.83,N/A,2.14,N/A,7.115815925121613,N/A,2.1400614695125135,N/A,N/A
18,AIG,52.46,N/A,4.04,N/A,0.974,N/A,0.682,N/A,1.9907013484017793,N/A,0.6819678556620656,N/A,N/A
19,AIV,8.14,N/A,16.22,N/A,2.23,N/A,6.41,N/A,32.938712915184986,N/A,11.435899439961332,N/A,N/A
20,AIZ,117.25,N/A,23.22,N/A,1.47,N/A,0.6087,N/A,11.496830891235872,N/A,0.6087353705484155,N/A,N/A
